交易日期,買/賣/股利,代號,股票,交易類別,買入股數,買入價格,賣出股數,賣出價格,現價,手續費,交易稅,交易成本,支出,收入,價差,ROR,持有時間,打平
2024/4/22,賣,2609,陽明,一般,,,2000,47.2,74.2,38,283,321,,"94,079",27.00,,328,
2024/4/22,買,3231,緯創,一般,100,110,,,104.5,5,0,5,"-11,005",,-5.50,,328,
2024/4/23,買,3044,健鼎,一般,74,189.5,,,208.5,6,0,6,"-14,029",,19.00,,327,
2024/4/23,買,3044,健鼎,一般,26,189,,,208.5,2,0,2,"-4,916",,19.50,,327,
2024/4/27,賣,2603,長榮,一般,,,200,185.5,220.0,15,111,126,,"36,974",34.50,,323,
2024/4/29,買,2618,長榮航,一般,1000,36.2,,,43.3,20,0,20,"-36,220",,7.05,,321,
2024/5/2,賣,2610,華航,一般,,,1000,21.3,24.5,20,63,83,,"21,217",3.15,,318,
2024/5/8,賣,3044,健鼎,一般,,,200,219,208.5,18,131,149,,"43,651",-10.50,,312,
2024/5/13,買,3044,健鼎,一般,200,216,,,208.5,18,0,18,"-43,218",,-7.50,,307,
2024/5/16,買,2356,英業達,一般,1000,53.7,,,46.5,22,0,22,"-53,722",,-7.20,,304,
2024/5/21,賣,2303,聯電,一般,,,200,53.6,44.9,5,32,37,,"10,683",-8.70,,299,
2024/6/3,買,5608,四維航,一般,1000,22.7,,,20.7,20,0,20,"-22,720",,-2.05,,286,
2024/6/5,賣,5608,四維航,一般,,,1000,24,20.7,20,72,92,,"23,908",-3.35,,284,
2024/6/7,買,2356,英業達,一般,1000,52.9,,,46.5,22,0,22,"-52,922",,-6.40,,282,
2024/6/13,賣,2356,英業達,一般,,,2000,56.1,46.5,45,336,381,,"111,819",-9.60,,276,
2024/6/14,買,4534,慶騰,一般,3000,16.4,,,30.3,20,0,20,"-49,220",,13.85,,275,
2024/6/17,買,2368,金像電,一般,100,190.5,,,216.5,8,0,8,"-19,058",,26.00,,272,
2024/6/17,賣,4534,慶騰,一般,,,3000,17.2,30.3,21,154,175,,"51,425",13.05,,272,
2024/6/19,買,2646,星宇航空,一般,1000,32.3,,,27.6,20,0,20,"-32,320",,-4.75,,270,
2024/6/19,買,4534,慶騰,一般,1000,18.7,,,30.3,20,0,20,"-18,720",,11.55,,270,
2024/6/19,買,4534,慶騰,一般,1000,18.7,,,30.3,20,0,20,"-18,720",,11.55,,270,
2024/6/19,買,4534,慶騰,一般,1000,18.65,,,30.3,20,0,20,"-18,670",,11.60,,270,
2024/6/19,買,4534,慶騰,一般,1000,19,,,30.3,20,0,20,"-19,020",,11.25,,270,
2024/6/20,賣,3044,健鼎,一般,,,200,224,208.5,18,134,152,,"44,648",-15.50,,269,
2024/6/21,賣,2618,長榮航,一般,,,1000,38.2,43.3,20,114,134,,"38,066",5.05,,268,
2024/6/21,買,2646,星宇航空,一般,1000,27.65,,,27.6,20,0,20,"-27,670",,-0.10,,268,
2024/6/21,買,3564,其陽,一般,100,100,,,68.4,4,0,4,"-10,004",,-31.60,,268,
2024/6/21,賣,4534,慶騰,一般,,,1000,19.1,30.3,20,57,77,,"19,023",11.15,,268,
2024/6/24,買,2330,台積電,一般,50,946,,,959.0,19,0,19,"-47,319",,13.00,,265,
2024/6/24,賣,2368,金像電,一般,,,100,203,216.5,9,60,69,,"20,231",13.50,,265,
2024/6/28,賣,2646,星宇航空,一般,,,1000,29.3,27.6,20,87,107,,"29,193",-1.75,,261,
2024/7/1,賣,4534,慶騰,一般,,,1000,19,30.3,20,59,79,,"18,921",11.25,,258,
2024/7/1,賣,4534,慶騰,一般,,,2000,20.9,30.3,20,125,145,,"41,655",9.35,,258,
2024/7/3,買,3686,達能,一般,1000,29.55,,,17.6,20,0,20,"-29,570",,-12.00,,256,
2024/7/3,買,3686,達能,一般,1000,29.1,,,17.6,20,0,20,"-29,120",,-11.55,,256,
2024/7/5,賣,3686,達能,一般,,,1000,30.9,17.6,20,92,112,,"30,788",-13.35,,254,
2024/7/8,買,3564,其陽,一般,62,97.8,,,68.4,3,0,3,"-6,067",,-29.40,,251,
2024/7/8,買,3564,其陽,一般,38,97.5,,,68.4,1,0,1,"-3,706",,-29.10,,251,
2024/7/8,買,4534,慶騰,一般,1000,27.35,,,30.3,20,0,20,"-27,370",,2.90,,251,
2024/7/8,買,5608,四維航,一般,1000,20.55,,,20.7,20,0,20,"-20,570",,0.10,,251,
2024/7/9,買,5608,四維航,一般,1000,19.9,,,20.7,20,0,20,"-19,920",,0.75,,250,
2024/7/9,買,4534,慶騰,一般,1000,24.75,,,30.3,20,0,20,"-24,770",,5.50,,250,
2024/7/10,賣,4534,慶騰,一般,,,1000,28.3,30.3,20,84,104,,"28,196",1.95,,249,
2024/7/12,賣,3686,達能,一般,,,1000,30.95,17.6,20,90,110,,"30,840",-13.40,,247,
2024/7/15,賣,3019,亞光,一般,,,100,99.1,157.0,4,29,33,,"9,877",57.90,,244,
2024/7/15,買,4534,慶騰,一般,1000,26.4,,,30.3,20,0,20,"-26,420",,3.85,,244,
2024/7/16,賣,4534,慶騰,一般,,,1000,28.3,30.3,20,84,104,,"28,196",1.95,,243,
2024/7/18,買,3686,達能,一般,1000,27.35,,,17.6,20,0,20,"-27,370",,-9.80,,241,
2024/7/19,賣,4534,慶騰,一般,,,1000,29.85,30.3,20,89,109,,"29,741",0.40,,240,
2024/7/19,賣,3686,達能,一般,,,1000,30.1,17.6,20,90,110,,"29,990",-12.55,,240,
2024/7/22,買,4534,慶騰,一般,1000,25.8,,,30.3,20,0,20,"-25,820",,4.45,,237,
2024/7/23,買,4534,慶騰,一般,1000,23.15,,,30.3,20,0,20,"-23,170",,7.10,,236,
2024/8/2,買,2330,台積電,一般,50,914,,,959.0,19,0,19,"-45,719",,45.00,,226,
2024/8/2,買,3564,其陽,一般,100,87.5,,,68.4,4,0,4,"-8,754",,-19.10,,226,
2024/8/2,賣,4534,慶騰,一般,,,1000,25.45,30.3,20,76,96,,"25,354",4.80,,226,
2024/8/2,賣,4534,慶騰,一般,,,1000,26.4,30.3,20,79,99,,"26,301",3.85,,226,
2024/8/6,買,4534,慶騰,一般,1000,21.45,,,30.3,20,0,20,"-21,470",,8.80,,222,
2024/8/7,賣,4534,慶騰,一般,,,1000,23.65,30.3,20,70,90,,"23,560",6.60,,221,
2024/8/19,賣,2330,台積電,一般,,,50,971,959.0,20,145,165,,"48,385",-12.00,,209,
2024/9/4,買,2330,台積電,一般,50,893,,,959.0,18,0,18,"-44,668",,66.00,,193,
2024/9/10,買,4534,慶騰,一般,1000,25.15,,,30.3,20,0,20,"-25,170",,5.10,,187,
2024/10/15,賣,2330,台積電,一般,,,50,1070,959.0,22,160,182,,"53,318",-111.00,,152,
2024/10/17,賣,3564,其陽,一般,,,300,103,68.4,13,92,105,,"30,795",-34.60,,150,
2024/11/12,買,5014,建錩,一般,1000,17.1,,,15.8,20,0,20,"-17,120",,-1.30,,124,
2024/12/3,賣,2610,華航,一般,,,1000,25.7,24.5,20,77,97,,"25,603",-1.25,,103,
2024/12/11,買,6517,保勝光學,一般,150,65.4,,,77.6,4,0,4,"-9,814",,12.20,,95,
2024/12/20,賣,4534,慶騰,一般,,,1000,26.5,30.3,20,79,99,,"26,401",3.75,,86,
2024/12/23,買,2332,友訊,一般,1000,26.05,,,20.6,20,0,20,"-26,070",,-5.45,,83,
2024/12/27,賣,6517,保勝光學,一般,,,150,79,77.6,5,35,40,,"11,810",-1.40,,79,
2025/1/8,買,4534,慶騰,一般,1000,22.05,,,30.3,20,0,20,"-22,070",,8.20,,67,
2025/1/13,買,6517,保勝光學,一般,150,64.99,,,77.6,4,0,4,"-9,753",,12.61,,62,
2025/1/21,買,1536,和大,一般,150,60.1,,,73.5,4,0,4,"-9,019",,13.40,,54,
2025/2/20,賣,4534,慶騰,一般,,,1000,23.85,30.3,20,71,91,,"23,759",6.40,,24,
2025/2/21,賣,1536,和大,一般,,,100,83.9,73.5,4,25,29,,"8,361",-10.40,,23,
2025/3/14,買,2330,台積電,一般,50,963,,,959.0,20,0,20,"-48,170",,-4.00,,2,
2025/3/14,賣,6517,保勝光學,一般,,,300,77.6,77.6,10,69,79,,"23,201",0.00,,2,
